Begin Time - msec	End Time - msec	Duration - msec	Block	Trial no	Stimulus	Handedness	Comments_CF	Comments_DF	NMM	Compound signs	Comments_ZS	Response Translation	Response Status	Lemma Gloss (ASLLEX)	ID Gloss ASLLEX	Comments_JB
915287	916830	1543	A3	296	act142melt.jpg	2+						MELT-v	Accept++		MELT	
918123	919694	1571	A3	297	act046cook.jpg	2-					changed from COOK to COOK.1	COOK-v	Accept++		COOK.1	
921030	922544	1514	A3	298	act012bake.jpg	2-						BAKE-v	Accept++		BAKE	
924537	926123	1586	A3	299	act144mine.jpg	2-					changed from MINE.1 to MINE	MINE-v	Accept++		MINE	
927780	929366	1586	A3	300	act043comb.jpg	1					BRUSH	COMB-v	Accept++		COMB.1	
930666	932238	1572	A3	301	act031carry.jpg	2+						CARRY-v	Accept++		CARRY	
933645	935331	1686	A3	302	act224spread.jpg	2-					changed from SPREAD.1 to SPREAD	SPREAD-v	Accept++		SPREAD	
936381	938138	1757	A3	303	act239swim.jpg	2+					CA, or another variant for swim	SWIM-v	Accept++		SWIM.1	
939309	940909	1600	A3	304	act208slice.jpg	2-						SLICE-v	Accept++		SLICE	
942145	943674	1529	A3	305	act248tie.jpg	2+						TIE-v	Accept++		TIE.1	
945117	946931	1814	A3	306	act067drive.jpg	2+					this is in ASLLEX as 'car', lexical function unclear. could be used interchangeably with 'drive' as a verb?	DRIVE-n	Accept++		CAR	
948360	950217	1857	A3	307	act069drown.jpg	2-						DROWN-v	Accept++		DROWN.3	
951953	953510	1557	A3	308	act100whisper.jpg	2+						GOSSIP-v	Accept++		GOSSIP	
955367	956781	1414	A3	309	act206cut.jpg	1						DON'T KNOW	Reject			
958524	959767	1243	A3	310	act008walk.jpg	2+						?go	Reject		?	
961624	963053	1429	A3	311	act089run.jpg	2-						RUN FAUCET-v	Accept++		RUN_FAUCET	
964903	966331	1428	A3	312	act222splash.jpg	2+	added variant screenshot_SPLASH.1				changed from SPLASH to PUSH and to reject	PUSH	Reject		PUSH	
967710	969267	1557	A3	313	act214sneeze.jpg	1						COUGH-v	Accept+-		COUGH	
970838	972381	1543	A3	314	act087fish.jpg	2-	added variant screenshot_FISHING.1					FISHING-v	Accept++		FISHING_2	
974317	976074	1757	A3	315	act270wrap.jpg	2+						WRAP_UP-v	Accept++		WRAP_UP.1	
978545	979945	1400	A3	316	act036cheer.jpg	1						SHOUT-v	Reject		SHOUT	
981624	983253	1629	A3	317	act070dry.jpg	1	added variant screenshot_BLOWDRY.2					HAIRDRYER-v	Accept++		HAIRDRYER.2	
984788	986431	1643	A3	318	act111howl.jpg	2+						HOWL-v	Accept++		HOWL.1	
988831	990388	1557	A3	319	act025buckle.jpg	2+	added variant screenshot_BUCKLE.3				similar to BELT_3 but location is different so coded as different sign	BUCKLE-v	Accept++		BUCKLE	
991902	993588	1686	A3	320	act151parachute.jpg	2-					weird movement direction - going up?	PARACHUTE-CA	Accept++		PARACHUTE	
995295	996753	1458	A3	321	act068break.jpg	2+						BREAK-v	Accept++		BREAK	
999032	1000546	1514	A3	322	act028pay.jpg	2-					weird end handshape	BUY-v	Accept++		BUY	
1002111	1003682	1571	A3	323	act129light.jpg	2-						LIGHT_CANDLE-v	Accept+-		LIGHT_CANDLE	
1005275	1006775	1500	A3	324	act138marry.jpg	2-					'to wed'; in ASLLEX as 'wedding' but here perhaps used interchangeably with 'marry' which is a different sign in ASLLEX	WEDDING-v	Accept++		WEDDING	
1008547	1010018	1471	A3	325	act204sit.jpg	2-						SIT-v	Accept++		SIT	
1011247	1013232	1985	A3	326	act183sail.jpg	2+						BOAT-v	Accept++		BOAT.1	
1014589	1016261	1672	A3	327	act109hit.jpg	2+						BASEBALL-v	Accept++		BASEBALL	
1017675	1019061	1386	A3	328	act097give.jpg	2+	added variant screenshot_GIVE.2					GIFT-v	Accept++		GIFT	
1020561	1022176	1615	A3	329	act202sing.jpg	2-						SING-v	Accept++		SING	
1023490	1024947	1457	A3	330	act016bite.jpg	2-						BITE-v	Accept++		BITE	
1026368	1028140	1772	A3	331	act275zip.jpg	1						ZIPPER-v	Accept++		ZIPPER	
1029662	1031319	1657	A3	332	act074erase.jpg	2-						ERASE_BOARD-v	Accept+-		ERASE_BOARD	
1032583	1034226	1643	A3	333	act252type.jpg	2+						KEYBOARD-v	Accept++		KEYBOARD	
1036969	1038583	1614	A3	334	act056decorate.jpg	2+	added variant screenshot_DEOCRATE-CA					DECORATE-CA	Accept+-		DECORATE-CA	
1040284	1041884	1600	A3	335	act092follow.jpg	2+						FOLLOW-v	Accept++		FOLLOW	
1043620	1045177	1557	A3	336	act135mail.jpg	2-						MAIL-v	Accept++		MAIL.1	
1046691	1048334	1643	A3	337	act095cry.jpg	2+						SAD-adj	Accept+-		SAD	
1050220	1051962	1742	A3	338	act049crash.jpg	2-						CRASH-v	Accept++		CRASH	
1053727	1055284	1557	A3	339	act253vacuum.jpg	1						VACUUM-v	Accept++		VACUUM	
1056955	1058413	1458	A3	340	act032carve.jpg	2-						CARVE-v	Accept++		CARVE	
1060292	1061706	1414	A3	341	mopping.png	2-						CLEAN	Reject		CLEAN	
1063435	1064892	1457	A3	342	act094arrest.jpg	2+						ARREST-v	Accept++		ARREST_1	
1066771	1068113	1342	A3	343	act268wash.jpg	2-					changed from REJECT to +-	CLEAN-v	Accept+-		CLEAN	
1070078	1071721	1643	A3	344	act088float.jpg	2-					changed from ++ to +, this is CL like	FLOAT-CL	Accept+		FLOAT.1	
1073607	1075349	1742	A3	345	act188itch.jpg	1						ITCH-v	Accept++		ITCH	
1076686	1078271	1585	A3	346	act004ski.jpg	2+						SKI-v	Accept++		SKI	
1079557	1081286	1729	A3	347	act024brush.jpg	1						TOOTHBRUSH-v	Accept++		TOOTHBRUSH	
1083029	1084357	1328	A3	348	act216somersault.jpg	2+						PLAY	Reject		PLAY	
1086643	1088343	1700	A3	349	act106hang.jpg	2+					changed from HANG_CLOTHES to HANG	HANG_CLOTHES-V	Accept++		HANG	
1090029	1091786	1757	A3	350	rain.png	2+						RAIN-v	Accept++		RAIN	
1093200	1094800	1600	A3	351	act083fight.jpg	2+						FIGHT-v	Accept++		FIGHT	
1096908	1098450	1542	A3	352	act131load.jpg	2+					straight handshape cf. to ASLLEX but OK	LOAD-v	Accept++		LOAD	
1099987	1101929	1942	A3	353	act185saw.jpg	2-						SAW-v	Accept++		SAW.1	
1103308	1104766	1458	A3	354	act014bark.jpg	2+					compare with HOWL	BARK-v	Accept++		BARK.1	
1106345	1108216	1871	A3	355	act209slide.jpg	2-						SLIDE-v	Accept++		SLIDE.1	
1110116	1111788	1672	A3	356	act258wash.jpg	2+						WASH_FACE-v	Accept++		WASH_FACE	
1114188	1115760	1572	A3	357	act098glue.jpg	2-						GLUE-v	Accept++		GLUE	
1117353	1118910	1557	A3	358	act177save.jpg	2+					changed to RESCUE, same sign as SAFE	RESCUE-v	Accept++		RESCUE	
1120653	1122339	1686	A3	359	act060dip.jpg	2-	added variant screenshot_DIP.2					DIP-v	Accept++		DIP.1	
1123661	1125518	1857	A3	360	act178ride.jpg	2-						RIDE-v	Accept++		RIDE_2	
1127268	1128654	1386	A3	361	act029yell.jpg	1	added variant screenshot_YELL.1					CALL-CA	Accept+		?CALL-CA	
1130369	1131826	1457	A3	362	act242teach.jpg	2+						TEACH-v	Accept++		TEACH.1	
1133076	1134605	1529	A3	363	act272write.jpg	2-						WRITE-CA	Accept+		? WRITE-CA	
1135805	1137376	1571	A3	364	act207sleep.jpg	1						SLEEP-v	Accept++		SLEEP	
1138740	1140569	1829	A3	365	act205skate.jpg	2+						ROLLERSKATING-v	Accept++		ROLLERSKATING	
1142347	1143904	1557	A3	366	act137march.jpg	2+						MARCH-v	Accept++		MARCH	
1145518	1147175	1657	A3	367	act238sweep.jpg	2+					changed from +- to +	SWEEP-CA	Accept+		SWEEP.1	
1149825	1151211	1386	A3	368	act221cough_spit.jpg	1						COUGH-v	Accept++		COUGH	
1152354	1154311	1957	A3	369	act240swing.jpg	2-						SWING-v	Accept++		SWING_2	
1156140	1157654	1514	A3	370	act241laugh.jpg	1						DONT KNOW	Reject			
1158833	1160490	1657	A3	371	act021bowl.jpg	1						BOWLING-v	Accept++		BOWLING.1	
1161769	1163726	1957	A3	372	act154pet.jpg	2-						PET-v	Accept++		PET.1	
1165100	1166558	1458	A3	373	act179roar.jpg	2+						ROAR-v	Accept++		ROAR.1	
1168137	1169537	1400	A3	374	act105arrest.jpg	2+					changed from ARREST_1.1 to ARREST_1	ARREST-v	Accept++		ARREST_1	
1171173	1172587	1414	A3	375	act261wave.jpg	1						HELLO	Accept+-		HELLO	
1173816	1175188	1372	A3	376	act232suck.jpg	1						SUCK-v	Accept++		SUCK.1	
1177167	1178810	1643	A3	377	act127relax.jpg	2-						RELAX-CL	Accept++		RELAX.1	
1181181	1182952	1771	A3	378	act180roast.jpg	2+						SEE sign?	Reject		SEE roast	
1184159	1185788	1629	A3	379	act257walk.jpg	2+						WALK-v	Accept++		WALK	
1186966	1188723	1757	A3	380	act234surf.jpg	2-						SURF-v	Accept++		SURF	
1190123	1191852	1729	A3	381	act096cook.jpg	2-						COOK-v	Accept++		COOK	
1193737	1195309	1572	A3	382	act057deliver.jpg	2-						?bring	Reject		?	
1196702	1198159	1457	A3	383	act246throw.jpg	1						THROW-v	Accept++		THROW	
1199638	1201066	1428	A3	384	act015beg.jpg	2-						BEG-v	Accept++		BEG	
1202375	1203796	1421	A3	385	act200shoot.jpg	2+	added variant screenshot_SHOOT.2				ND handshape different from ASLLEX, but remove variant	SHOOT-v	Accept++		SHOOT	
1205077	1206846	1769	A3	386	act114iron.jpg	2-	added variant screenshot_IRON.3					IRON-v	Accept++		IRON.1	
1208432	1210374	1942	A3	387	act159plow.jpg	2-					changed from PLOW.2 to RAKE	PLOW	Accept++		RAKE	
1211816	1213366	1550	A3	388	act078explode.jpg	2+					changed from EXPLODE to POP.3	EXPLODE-v	Accept++		POP.3	
1214757	1216511	1754	A3	389	act225squeeze.jpg	1	added variant screenshot_SQUEEZE.1					SQUEEZE-v	Accept++		SQUEEZE	
1217989	1219467	1478	A3	390	act186punish.jpg	2-						?looks like SCOLD but weird sign	Reject		?	
1221286	1222778	1492	A3	391	act227stand.jpg	2-						STAND_UP-v	Accept++		STAND	
1223967	1225735	1768	A3	392	act075erupt.jpg	2-						ERUPT-v	Accept++		ERUPT	
1227293	1228945	1652	A3	393	act191serve.jpg	2+						BRING-v	Accept+-		BRING	
1230532	1232068	1536	A3	394	act081feed.jpg	2+						FEED-v	Accept++		FEED	
1233800	1235481	1681	A3	395	act009fly.jpg	1						BITE?	Reject			
1236937	1238603	1666	A3	396	camping2.png	2+						CAMPING-v	Accept++		CAMPING	
1240516	1242139	1623	A3	397	act149open.jpg	2-					she produced this sign earlier for TIE, or WRAP - check	TIE	Reject			
1243783	1245421	1638	A3	398	act262sew.jpg	1						DONT KNOW	Reject			
1247754	1249290	1536	A3	399	act101shake.jpg	2+						INTRODUCE-v	Accept++		INTRODUCE	
1250639	1252392	1753	A3	400	act113hunt.jpg	1						LOOK_FOR-v	Reject		LOOK_FOR	
1253652	1255493	1841	A3	401	act189carve.jpg	2-						CARVE-v	Accept++		SCULPT	
1256695	1258492	1797	A3	402	act026burn.jpg	2+						BURN-v	Accept++		BURN	
1260296	1262107	1811	A3	403	act166propose.jpg	2-						open-box-CA	Reject		open-box-CA	
1264338	1265701	1363	A3	404	act247tickle.jpg	2+						PLAY-v	Reject		PLAY	
1267374	1269591	2217	A3	405	act013balance.jpg	2-						walk-tightrope-CL	Accept+-		walk-tightrope-CL	
1270808	1272489	1681	A3	406	act156pinch.jpg	1						PINCH-v	Accept++		PINCH	
1274814	1276727	1913	A3	407	act197shave.jpg	2-						SHAVE-v	Accept++		SHAVE_2	
1277951	1279632	1681	A3	408	act116juggle.jpg	2+						JUGGLE-v	Accept++		JUGGLE	
1281117	1282798	1681	A3	409	act017sniff.jpg	1						DONT KNOW	Reject			
1284152	1285790	1638	A3	410	act150operate.jpg	2-						OPERATE-v	Accept++		SURGERY	
1287065	1288746	1681	A3	411	act108hide.jpg	2-						HIDE-v	Accept++		HIDE	
1299110	1300560	1450	A4	413	act228steal.jpg	2-						STEAL-v	Accept++		STEAL	
1301784	1303204	1420	A4	414	act118kick.jpg	2-						KICK-v	Accept++		SOCCER_2	
1304457	1305965	1508	A4	415	act006blow.jpg	1						?	Reject		?	
1307493	1309146	1653	A4	416	act196shave.jpg	1						SHAVE-v	Accept++		SHAVE_3	
1310442	1311949	1507	A4	417	act133look.jpg	1						MIRROR-v	Accept++		MIRROR	
1313057	1314724	1667	A4	418	act022box.jpg	2+						BOXING-v	Accept++		BOXING	
1316042	1317723	1681	A4	419	act250tow.jpg	2+						TOW-v	Accept++		TOW.1	
1318961	1320469	1508	A4	420	act007argue.jpg	2+						ARGUE-v	Accept++		ARGUE	
1321997	1323678	1681	A4	421	act203sink.jpg	2-						SINK_ROCK-v	Accept++		SINK_ROCK.2	
1325235	1326670	1435	A4	422	act063drag.jpg	2+					changed to REJECT, this is not a verb sign	?HEAVY	Reject		?HEAVY	
1328031	1329655	1624	A4	423	act035chase.jpg	2-						CHASE-v	Accept++		CHASE	
1330864	1332488	1624	A4	424	act112hug.jpg	2+						HUG-v	Accept++		HUG	
1334234	1335726	1492	A4	425	act064write.jpg	2-						WRITE-v	Accept++		WRITE	
1337273	1338722	1449	A4	426	act155pick.jpg	1						FLOWER	Reject		FLOWER	
1340337	1341932	1595	A4	427	act059dig.jpg	2+						DIG-v	Accept++		DIG_UP	
1343750	1345184	1434	A4	428	act037chew.jpg	2-						BITE-v	Accept++		BITE	
1347083	1348387	1304	A4	429	act061cut.jpg	1						DONT KNOW	Reject			
1349887	1351365	1478	A4	430	act140measure.jpg	2+						MEASURE-CA	Accept++		MEASURE.1	
1352923	1354430	1507	A4	431	act120kneel.jpg	2-						KNEEL-v	Accept++		KNEEL	
1356321	1357929	1608	A4	432	act053curl.jpg	2+						?HAIRCUT	Reject		?	
1359364	1360755	1391	A4	433	act110hitchhike.jpg	1						HITCHHIKE-v	Accept++		HITCHHIKE	
1362138	1363486	1348	A4	434	act190sell.jpg	2+						SELL-v	Accept++		STORE	
1364804	1366283	1479	A4	435	act263weigh.jpg	2-						WEIGH-v	Accept++		WEIGH	
1367506	1369144	1638	A4	436	act153peel.jpg	2-	added variant screenshot_PEEL.1					PEEL-v	Accept++		PEEL	
1370535	1371970	1435	A4	437	act103grind.jpg	2-					I don't understand this sign?	?ALARM	Reject		?	
1373506	1374970	1464	A4	438	act271twist.jpg	2+						WRING-v	Accept++		WRING	
1376346	1377593	1247	A4	439	act229sting.jpg	1						BUG	Reject		BUG	
1378846	1380425	1579	A4	440	act184salute.jpg	1						SALUTE-v	Accept++		SALUTE	
1381584	1383222	1638	A4	441	act122knit.jpg	2+						KNITTING-v	Accept++		KNITTING	
1384424	1386207	1783	A4	442	act181row.jpg	2+						ROW-v	Accept++		ROW	
1387626	1389119	1493	A4	443	act233sunbathe.jpg	1					Please check with signer, is this acceptable sign to use in the context of 'sunbathe'?	SUN-V	Accept++		SUN	
1390524	1392307	1783	A4	444	act050crawl.jpg	2-					check this sign - it's reverse orientation from CRAWL in ASLLEX - acceptable?	CRAWL-v	Accept++		CRAWL	
1393436	1395060	1624	A4	445	act003paint.jpg	2-						PAINT-v	Accept++		PAINT	
1396806	1398298	1492	A4	446	act045conduct.jpg	2-						MUSIC	Reject		MUSIC	
1399501	1401124	1623	A4	447	act001dive.jpg	2+						DIVE-v	Accept++		DIVE_2	
1402435	1403957	1522	A4	448	act126lick.jpg	2+						LICK-ENVELOPE-ca	Accept+		LICK-ENVELOPE	
1405348	1406725	1377	A4	449	act254wade.jpg	2+						PLAY	Reject		PLAY	
1408086	1409666	1580	A4	450	act033catch.jpg	2-						CATCH_BASEBALL-v	Accept++		CATCH_BASEBALL	
1411376	1412941	1565	A4	451	act091fold.jpg	1						DONT KNOW	Reject			
1414179	1415643	1464	A4	452	act011win.jpg	2+						AWARD-v	Accept++		AWARD	
1417338	1418817	1479	A4	453	act269wish.jpg	1						BIRTHDAY-n	Reject		BIRTHDAY	
1420156	1421664	1508	A4	454	act099golf.jpg	2+						GOLF-v	Accept++		GOLF	
1423091	1424888	1797	A4	455	act077stretch.jpg	2-						STRETCH-v	Accept++		STRETCH	
1426097	1427663	1566	A4	456	act231strain.jpg	2-						COOK	Reject		COOK	
1428771	1430568	1797	A4	457	act273yawn.jpg	2-						YAWN-CA	Accept+		YAWN.1	
1432474	1434141	1667	A4	458	act038clap.jpg	1						DONT KNOW	Reject			
1435314	1436865	1551	A4	459	act130listen.jpg	1	added variant screenshot_LISTEN.1					HEAR-v	Accept++		HEAR	
1438212	1439966	1754	A4	460	act134magnify.jpg	1						MAGNIFY-v	Accept++		MAGNIFY	
1441618	1443024	1406	A4	461	act020bow.jpg	2+						PLAY	Reject		PLAY	
1444893	1446386	1493	A4	462	act062drip.jpg	2-						water-run-CL	Accept+-		DRIP.1	
1448994	1450385	1391	A4	463	act255wag.jpg	1						LOOK_FOR	Reject		LOOK_FOR	
1452160	1453696	1536	A4	464	act219spill.jpg	2-	added variant screenshot_SPILL.3					spill-CL	Accept+-		SPILL.3	
1456544	1458094	1550	A4	465	act115ride.jpg	1						dont know	Reject			
1460036	1461630	1594	A4	466	act194wash.jpg	2+						WASH_HAIR-v	Accept++		SHAMPOO	
1463463	1464912	1449	A4	467	act093scare.jpg	2+					dont know this sign	?MASK	Reject			
1466237	1467745	1508	A4	468	act230stir.jpg	2-						STIR-v	Accept++		STIR	
1469070	1470505	1435	A4	469	act211smell.jpg	1						SMELL-v	Accept++		SMELL	
1472243	1473808	1565	A4	470	act148oil.jpg	1						DONT KNOW	Reject			
1475075	1476829	1754	A4	471	act237sweat.jpg	2+	added variant screenshot_SWEAT.1					SWEAT-v	Accept++		SWEAT	
1478655	1480438	1783	A4	472	act052cry.jpg	2+	added variant screenshot_CRY.2					CRY-v	Accept++		CRY.2	
1481611	1483234	1623	A4	473	act104hammer.jpg	2-	movement only once, maybe better with repetition movement?					HAMMER-v	Accept++		HAMMER	
1484951	1486704	1753	A4	474	act165pray.jpg	2+						PRAY-v	Accept++		PRAYER	
1488457	1489834	1377	A4	475	act079scared.jpg	2+						SCARE-v	Accept++		SCARED	
1491427	1492877	1450	A4	476	eating2.png	2+						EAT-v	Accept++		DEVOUR	
1494434	1495898	1464	A4	477	act260water.jpg	2-	added variant screenshot_WATER_POUR					WATER, POUR	Reject		WATER, POUR	
1497767	1499115	1348	A4	478	act141meditate.jpg	2+						PRAY-v	Reject		PRAYER	
1500912	1502318	1406	A4	479	act220sew.jpg	2+						KNITTING-v	Accept+-		KNITTING	
1504260	1505752	1492	A4	480	act195sharpen.jpg	2-	added variant screenshot_SHARPEN.3					SHARP-v	Accept++		SHARP_2	
1507883	1509477	1594	A4	481	act121knight.jpg	1						KNIGHT-v	Accept++		KNIGHT	
1511078	1512528	1450	A4	482	act265whistle.jpg	1						WHISTLE-v	Accept++		WHISTLE	
1513824	1515259	1435	A4	483	act163pop.jpg	2+						POP-v	Accept++		POP.1	
1517186	1519026	1840	A4	484	act080fall.jpg	2-	added variant screenshot_FALL.2					FALL-v	Accept++		FALL_2	
1521026	1522693	1667	A4	485	act082fence.jpg	1						FENCE-v	Accept++		FENCING	
1524301	1525678	1377	A4	486	act102cook.jpg	2-						COOK-v	Accept++		COOK	
1527445	1529025	1580	A4	487	act128lift.jpg	2+						LIFT-v	Accept++		LIFT	
1530271	1531836	1565	A4	488	act152bite.jpg	2-						STING-v	Accept++		STING	
1533234	1534741	1507	A4	489	act267wink.jpg	1						WINK-v	Accept++		WINK	
1535893	1537661	1768	A4	490	act213smoke.jpg	1						SMOKE-v	Accept++		SMOKING	
1539407	1540697	1290	A4	491	act161point.jpg	1						POINT-v	Accept++		point_index	
1542084	1543708	1624	A4	492	act084file.jpg	2-	added variant screenshot_FILE.1					FILE-v	Accept++		FILE_4	
1544417	1546171	1754	A4	493	act143milk.jpg	1						dont know	Reject			
1547251	1548729	1478	A4	494	act027bury.jpg	2+						DIG_UP-v	Reject		DIG_UP	
1550562	1552214	1652	A4	495	act173read.jpg	2-						READ-v	Accept++		READ	
1553424	1555018	1594	A4	496	act259watch.jpg	1						WATCH-v	Accept++		WATCH	
1556025	1557735	1710	A4	497	act054curtsey.jpg	2+						SKIRT	Reject		SKIRT	
1559061	1560612	1551	A4	498	act243tear.jpg	2-						TEAR_RIP-v	Accept++		TEAR_RIP	
1561698	1563249	1551	A4	499	act168push.jpg	2+						PUSH-v	Accept++		PUSH	
1564596	1566379	1783	A4	500	act018boil.jpg	2+						BOIL-v	Accept++		BOIL	
1568233	1569827	1594	A4	501	act146mix.jpg	2+	added variant screenshot_MIXER.3					MIX-v	Accept++		MIX.3	
1571704	1573124	1420	A4	502	act251trip.jpg	2-					unclear sign	?KICK	Reject		?KICK	
1574450	1576175	1725	A4	503	act162polish.jpg	2-						POLISH-v	Accept++		POLISH.1	
1577377	1579116	1739	A4	504	act040cut.jpg	2+	added variant screenshot_CUT.4					TRIM-v	Accept++		TRIM	
1580354	1581891	1537	A4	505	act212smile.jpg	2+	added variant screenshot_SMILE.3					SMILE-v	Accept++		SMILE.1	
1583723	1585288	1565	A4	506	act107hatch.jpg	2+						HATCH-v	Accept++		HATCH.1	
1586889	1588440	1551	A4	507	act010wakeup.jpg	2+						WAKE_UP-v	Accept++		AWAKE	
1589801	1591352	1551	A4	508	act005cut.jpg	2-	added variant screenshot_CUT.5.					CUT-v	Accept++		TRIM-CA	
1592496	1593916	1420	A4	509	act002drink.jpg	1						DRINK-v	Accept++		DRINK	
1595372	1597010	1638	A4	510	act171rake.jpg	2-						RAKE-v	Accept++		RAKE	
1598647	1600126	1479	A4	511	act073dump.jpg	2-						TRASH-n	Reject		TRASH	
1601842	1603219	1377	A4	512	act244talk.jpg	2+	added variant screenshot_TALK.1					TALK-v	Accept++		TALK_2	
1604436	1605957	1521	A4	513	act076look.jpg	2+	added variant screenshot_MICROSCOPE.3					MICROSCOPE-v	Accept++		MICROSCOPE	
1607507	1609217	1710	A4	514	act192sew.jpg	2-						SEW-v	Accept++		SEW	
1610818	1612325	1507	A4	515	act119kiss.jpg	1						KISS_ON_CHEEK-v	Accept++		KISS_ON_CHEEK	
1614056	1615708	1652	A4	516	act023break.jpg	1						dont know	Reject			
1617527	1619222	1695	A4	517	act172reach.jpg	1						REACH-v	Accept++		REACH	
1622091	1623729	1638	A4	518	act124lasso.jpg	1						LASSO-v	Accept++		LASSO	
1624758	1626439	1681	A4	519	act182run.jpg	2+						RUN-v	Accept++		RUN	
1628127	1629764	1637	A4	520	act256wait.jpg	2+						WAIT-v	Accept++		WAIT	
1630865	1632488	1623	A4	521	act055dance.jpg	2-						DANCE-v	Accept++		DANCE	
1633799	1635422	1623	A4	522	act039climb.jpg	2+						CLIMB-v	Accept++		CLIMB	
1637211	1638849	1638	A4	523	jump2.png	2-						JUMP-v	Accept++		JUMP	
1640283	1641834	1551	A4	524	act047cough.jpg	2+						SICK-adj	Reject		SICK	
1643210	1644572	1362	A4	525	act187scoop.jpg	1						ICECREAM-n	Reject		ICECREAM	
1645970	1647521	1551	A4	526	act132unlock.jpg	2-	added variant screenshot_UNLOCK.1					LOCK-v	Accept++		LOCK_2	
1649404	1651158	1754	A4	527	act136make.jpg	2+						make_bed-CA	Accept+		make_bed-CA	
1652592	1654549	1957	A4	528	act226stack.jpg	2-	added variant screenshot_STACK.1					STACK-v	Accept++		STACK	
1656476	1657983	1507	A4	529	act051cross.jpg	2+						WALK	Reject		WALK	
1659294	1660859	1565	A4	530	act274yell.jpg	1						SHOUT-v	Accept++		SHOUT	
1662039	1663663	1624	A4	531	act210slip.jpg	2-						SLIP-v	Accept++		SLIP.1	
1665181	1666920	1739	A4	532	act176fix.jpg	2-	added screenshot_variant_FIX.1					FIX-v	Accept++		MECHANIC_2	
1668347	1669898	1551	A4	533	act198shine.jpg	2-	added screenshot_variant_SHINE.1					SHINE-v	Accept++		FLASHLIGHT.2	
1671143	1672477	1334	A4	534	act090fly.jpg	1						BIRD-n	Reject		BIRD	
1674585	1675947	1362	A4	535	act199shock.jpg	1					unclear sign. one-handed 'camera'?	? camera?	Reject		?	
1677244	1678679	1435	A4	536	act160plug.jpg	2-						PLUG-v	Accept++		PLUG	
1680098	1681809	1711	A4	537	act167pull.jpg	2+						PULL-v	Accept++		PULL	
68802	70336	1534	O3								code as PIE!!!!! changed to ACCEPT+- because this should be sign CAKE					
